VisCent-ContA	VisCent-ContB	VisCent-ContC	VisCent-DefaultA	VisCent-DefaultB	VisCent-DefaultC	VisCent-DorsAttnA	VisCent-DorsAttnB	VisCent-LimbicA	VisCent-LimbicB	VisCent-SalVentAttnA	VisCent-SalVentAttnB	VisCent-SomMotA	VisCent-SomMotB	VisCent-TempPar	VisCent-VisPeri
0.437678	0.628064	2.233085	0.361176	0.104252	4.464168	0.08177	0.977047	1.004623	0.811925	0.452041	0.019439	1.388471	1.000432	2.63216	1.633234
3.277268	4.105195	0.05756	0.217266	3.835906	8.119082	1.204391	5.776981	0.611779	0.180775	3.448767	1.766771	3.287162	1.42903	5.219217	2.560868
2.325438	1.364928	0.501882	1.612735	1.536496	0.418643	0.622198	3.540721	0.507441	0.973572	0.636858	1.423904	0.576739	5.276293	1.679842	0.684268
0.128855	1.129273	1.229444	0.968031	0.23228	0.055755	4.065295	1.054232	1.143346	0.655456	0.102876	0.447009	0.076786	0.381109	0.883011	0.302387
0.921334	1.529692	1.123414	1.513804	1.660103	1.434072	1.506887	4.864176	0.804146	0.076407	5.546313	0.184274	0.414718	2.015452	1.859618	5.641855
1.722201	1.198128	2.175589	0.322686	0.856748	4.109065	2.616238	0.590048	0.233478	0.316314	1.183686	0.169066	1.735748	2.5042	0.944765	2.146845
3.599243	2.472317	1.060112	1.331159	0.775226	0.101976	0.485547	0.121867	0.822743	0.473966	2.304589	0.366044	1.847569	2.881366	1.857748	1.89227
9.953021	6.748655	2.127891	3.313608	9.34517	5.776428	1.227103	0.121928	4.186607	1.868567	0.634774	1.803047	8.148494	6.40681	3.075294	8.478995
0.12811	0.848386	5.31464	0.680696	3.796823	3.939675	1.551149	0.886718	0.820745	2.462618	1.110967	0.707106	1.439581	0.474046	1.739815	0.140017
0.641145	0.102326	0.272614	3.107082	0.537976	1.299246	0.63542	1.527332	0.62588	0.203744	3.041577	0.735874	0.550635	0.98756	1.82676	0.03573
3.120966	3.155661	2.48586	0.121163	0.54144	1.703115	0.430131	1.793208	4.739837	4.129197	2.622375	2.918042	1.586199	0.64033	2.391287	1.43148
4.421293	5.214345	1.837679	2.142903	0.09311	0.635415	0.41843	0.408007	4.827082	2.767159	0.472666	3.349084	3.75551	1.691139	0.874117	1.194358
0.463109	0.984272	1.061319	0.472702	1.39965	4.683844	0.020673	1.350963	0.021567	1.700361	0.503393	0.432453	0.495473	4.135019	5.024227	0.28635
1.171895	5.74719	3.286094	2.943124	4.256624	3.751635	0.452231	0.735563	3.070722	1.818993	0.252392	2.120223	2.675461	2.775004	3.570769	0.193374
0.934547	2.204186	3.251698	3.55809	0.172404	0.205956	3.128197	0.804633	0.409421	1.77232	0.642688	2.309271	1.330798	2.964232	0.123173	0.822724
0.701868	0.142361	0.091609	0.420628	2.825991	0.798129	1.795686	1.457454	0.233916	0.472441	0.172551	2.508124	0.102403	3.370878	1.748607	0.124864
1.557899	1.751091	0.364834	0.844451	0.416643	1.900865	0.48516	0.856886	1.342995	0.205963	0.541389	0.483591	0.290073	0.117863	0.092136	0.106006
0.239206	7.199886	2.478834	0.220827	0.059868	0.091121	5.651368	0.838537	1.747776	2.424772	0.066001	1.793555	0.424484	0.026035	0.840404	2.83418
1.334437	0.449458	2.735714	2.268374	1.750254	1.930735	0.093818	0.8524	2.845926	1.238135	6.944874	0.290936	0.732481	4.179692	1.182894	2.000651
6.561067	9.53237	1.519006	0.034355	0.52287	2.752584	6.47954	2.373451	2.652311	1.213514	0.033467	4.295448	1.221752	2.357032	1.987266	0.309399
6.267033	6.002206	0.031791	0.089722	2.243087	2.469522	3.355212	0.4303	0.638823	1.319347	2.172576	0.993085	1.146003	0.601644	4.567833	1.896529
3.182478	1.194338	6.230961	6.542167	3.393887	1.516717	4.081785	1.494476	3.12182	1.7337	9.424526	1.605619	2.295024	1.500891	2.04744	2.464279
1.494189	0.535159	5.723338	1.806288	0.348837	8.370078	0.069768	3.335187	2.765875	5.487546	6.510453	8.857433	5.514766	2.254158	9.387464	7.387575
2.91544	5.548464	4.781418	1.259495	6.647099	0.693908	2.347862	0.276871	1.999688	3.616183	0.228331	1.575522	3.037064	2.582034	0.323125	1.116796
1.951585	0.494488	0.420268	1.407637	1.572391	3.271183	6.444484	3.927114	1.082424	0.313341	0.639241	2.046389	1.401121	1.184238	5.270169	1.08821
