VisPeri-ContA	VisPeri-ContB	VisPeri-ContC	VisPeri-DefaultA	VisPeri-DefaultB	VisPeri-DefaultC	VisPeri-DorsAttnA	VisPeri-DorsAttnB	VisPeri-LimbicA	VisPeri-LimbicB	VisPeri-SalVentAttnA	VisPeri-SalVentAttnB	VisPeri-SomMotA	VisPeri-SomMotB	VisPeri-TempPar	VisPeri-VisCent
2.014155	0.665513	0.350372	0.687955	0.476996	1.165257	0.176104	0.545148	0.23197	0.618514	1.538575	0.371767	3.409749	0.829709	0.088384	2.627308
4.32973	6.688884	0.947386	1.184446	5.167897	2.738743	0.217759	1.371647	5.719418	6.158357	3.589014	5.208942	9.851125	1.338866	0.327987	15.989912
0.270024	1.404606	1.182563	4.164882	1.818224	3.918734	1.858168	1.985962	3.220648	11.782981	3.348368	6.094772	4.584951	0.378668	4.123639	0.018488
1.247076	4.272174	4.71307	7.917879	3.105057	4.970579	8.309879	3.423337	0.630351	1.032278	0.257214	0.158526	12.402927	1.009856	1.936831	3.489373
12.978842	15.040379	5.092347	7.707127	10.145625	2.954171	0.472401	1.168089	9.486333	4.185144	0.137063	3.795498	1.646019	5.422836	1.560261	4.341814
2.566996	10.668518	0.941187	2.526853	9.745957	4.283129	0.106059	1.644758	2.609974	2.986682	6.633868	3.509458	5.629676	2.716988	0.489737	0.393021
10.820359	26.030344	4.581769	16.662698	10.952249	0.528245	4.268881	6.242155	13.181471	21.996736	0.373073	14.236343	10.326351	6.058687	0.988174	7.40787
12.554343	11.249701	9.169834	2.693948	3.296046	4.370767	0.842259	4.282373	8.030306	6.162766	0.253533	8.449761	4.845336	0.056535	0.626379	14.780385
3.297667	1.645535	0.567707	0.175724	2.138947	1.31366	3.514289	5.400622	4.690586	1.254141	2.592496	0.622531	1.961682	0.473092	2.119553	2.939788
7.114108	9.816918	0.490464	0.787051	10.62071	2.917756	0.219037	3.963427	14.74896	1.329666	0.282205	2.951633	13.627272	0.079327	0.794478	3.952522
0.812604	3.93035	1.050981	1.889081	2.105997	7.744788	0.564542	2.807112	1.768612	0.577594	9.147633	0.143962	5.385344	0.962185	7.782323	10.096862
2.344573	8.911944	6.26766	7.889063	10.314454	3.829347	3.506267	6.409197	5.270895	3.234625	5.275364	7.962486	13.148845	1.058503	0.643731	12.185809
4.47548	13.21394	1.962309	2.708572	6.092546	8.294645	6.697363	2.683954	5.138615	5.502483	3.654912	6.857381	34.174589	4.234265	4.850396	4.756565
8.218597	11.937985	19.431486	19.814083	8.373761	0.259399	4.851605	8.06835	6.581873	4.270817	16.438813	4.520529	8.246297	1.372363	1.516492	6.794877
8.879179	6.834357	3.120189	1.297782	5.162351	5.214733	17.370656	4.933358	11.447036	4.070048	2.152833	11.472616	13.859746	0.563805	2.789192	0.542458
0.981601	2.897468	5.554263	4.844736	3.112124	1.368043	0.807609	2.173364	3.164141	3.317639	0.13259	0.652462	1.826048	2.880453	0.583841	0.255045
0.474438	0.629889	2.038709	9.206913	2.926067	0.141462	2.195655	2.316048	3.263648	7.870475	1.527178	3.891125	4.224942	0.008981	2.687698	4.273394
5.716083	5.922698	1.988702	0.583149	0.207127	2.893609	4.783892	2.881875	5.505712	0.470178	0.737646	4.559634	8.757899	0.231536	5.959712	4.303633
2.828747	3.848848	0.579467	7.717714	5.691214	0.955919	0.207136	0.745615	7.08375	4.244693	5.614856	6.074739	7.891951	1.348759	0.593169	4.130532
1.777136	6.175007	0.26938	0.623417	2.267839	2.560993	0.806709	0.766018	1.020429	7.147994	2.414837	1.57917	5.354022	2.21574	4.993394	11.51984
13.388615	8.669836	0.548839	0.222306	0.260257	3.734398	1.753116	1.502445	5.560619	1.96053	0.621856	3.373351	19.813849	0.290412	4.443416	10.824898
9.906716	17.675973	0.345413	2.249143	6.768759	0.258524	2.441413	18.926007	15.710365	13.067634	0.376654	5.290192	19.518654	0.163826	1.854363	3.869821
1.927417	6.145429	0.140188	0.181236	0.862684	5.316514	1.034012	1.958306	0.497236	0.245263	1.068975	0.602344	13.741844	3.711424	2.383645	19.859074
2.980219	4.505289	2.897589	4.945765	11.482316	2.749125	0.282543	2.993792	6.754953	6.254216	0.506195	3.139446	11.541192	1.728165	0.131666	2.400536
1.543065	1.823544	2.672569	5.281499	3.412677	5.320374	11.645844	2.829304	1.326789	1.928342	4.55525	2.02443	10.065372	2.252029	5.016813	15.996134
0.956059	2.467142	4.309455	4.738755	1.047709	0.108758	2.157961	0.011961	6.01778	10.215717	0.932693	9.631759	9.273635	0.350157	2.810217	3.608315
8.459637	18.270088	6.043275	5.862585	5.621306	2.828545	2.039648	2.564019	3.458771	4.311048	0.83089	2.155677	13.529398	0.813507	2.305619	5.269655
